Run_ID,Dataflow,P,P_Suffix,Latency_Cycles,Clock_Period_ns,Latency_ms,BRAM,DSP,FF,LUT,BRAM_Util,DSP_Util
final_result_dataflow_False_P_1_int8_1.prj,False,1,1,76247141,2.47,188.33043827,3602,460,51082,48527,89.33531746031747,5.097517730496453
final_result_dataflow_False_P_2_int8_1.prj,False,2,1,46614629,2.707,126.185800703,3616,726,80889,68587,89.68253968253968,8.045212765957446
final_result_dataflow_False_P_2_int8_2.prj,False,2,2,41896037,2.707,113.41257215899999,3616,726,83977,83822,89.68253968253968,8.045212765957446
final_result_dataflow_False_P_4_int8_2.prj,False,4,2,26701925,2.494,66.59460095,3765,1262,144614,122110,93.37797619047619,13.984929078014186
final_result_dataflow_False_P_4_int8_4.prj,False,4,4,24367205,2.494,60.771809270000006,4341,1646,147808,138181,107.66369047619047,18.240248226950353
final_result_dataflow_False_P_8_int8_4.prj,False,8,4,17656421,2.603,45.959663863,4125,2712,283516,250381,102.30654761904762,30.0531914893617
final_result_dataflow_False_P_8_int8_8.prj,False,8,8,16476773,2.603,42.889040119,4125,3096,320780,309359,102.30654761904762,34.308510638297875
final_result_dataflow_False_P_16_int8_8.prj,False,16,8,13497701,2.603,35.134515703,4206,5224,568515,457641,104.31547619047619,57.89007092198582
final_result_dataflow_True_P_1_int8_1.prj,True,1,1,18282929,3.611,66.019656619,3989,652,92511,62319,98.93353174603175,7.225177304964539
final_result_dataflow_True_P_2_int8_1.prj,True,2,1,14155937,3.611,51.117088507,3998,1116,154058,97592,99.15674603174604,12.367021276595745
final_result_dataflow_True_P_2_int8_2.prj,True,2,2,11296433,3.611,40.791419563,3998,1116,163291,111867,99.15674603174604,12.367021276595745
final_result_dataflow_True_P_4_int8_2.prj,True,4,2,9560153,2.494,23.843021582000002,4028,2036,231707,160261,99.90079365079364,22.562056737588655
final_result_dataflow_True_P_4_int8_4.prj,True,4,4,8037089,2.494,20.044499966000004,4604,2420,234895,176311,114.18650793650794,26.817375886524825
final_result_dataflow_True_P_8_int8_4.prj,True,8,4,7225433,2.494,18.020229902000004,4908,4248,441349,293149,121.72619047619047,47.07446808510639
final_result_dataflow_True_P_8_int8_8.prj,True,8,8,7148141,2.494,17.827463654000002,4908,4632,478623,352127,121.72619047619047,51.329787234042556
final_result_dataflow_True_P_16_int8_8.prj,True,16,8,7139741,2.494,17.806514054,4492,8296,913998,645182,111.40873015873017,91.93262411347519
